,pred,target,vocab,attr
0,5,5,best,0.6990695595741272
1,5,5,great,0.5905271768569946
2,5,5,perfect,1.0
3,5,5,perfect,1.0
4,5,5,disappointment,-0.8896386027336121
5,5,5,great,0.5905271768569946
6,5,5,fantastic,1.0
7,5,5,great,0.7196429371833801
8,5,5,small,-0.832371711730957
9,5,5,love,0.8906263113021851
10,5,5,love,0.8906263113021851
11,5,5,definitely,0.5677207708358765
12,5,5,wow,0.5632278919219971
13,5,5,amazing,0.9018934965133667
14,5,5,tomato,0.5534670352935791
15,5,5,beautiful,0.6226507425308228
16,5,5,excellent,1.0
17,5,5,everyone,0.7104939222335815
18,5,5,however,-0.6638060808181763
19,5,5,excellent,1.0
20,5,5,excellent,1.0
21,5,5,loved,0.7995265126228333
22,5,5,great,0.6083042025566101
23,5,5,wonderful,1.0
24,5,5,great,0.6083042025566101
25,5,5,loved,0.8535441756248474
26,5,5,great,0.7800256609916687
27,5,5,overall,-0.5072554349899292
28,5,5,great,0.7800256609916687
29,5,5,sour,-1.0
30,5,5,skimp,0.583519697189331
31,5,5,freakin,0.9748144745826721
32,2,3,bad,0.7580091953277588
33,2,3,bad,0.7580091953277588
34,2,3,tiny,1.0
35,2,3,n't,0.6034835577011108
36,2,3,no,0.6174035668373108
37,2,3,except,-0.6810100674629211
38,2,3,not,0.7862514853477478
39,2,3,finishes,-0.5840717554092407
40,2,3,tragedy,0.5830357670783997
41,2,3,not,0.7862514853477478
42,2,3,not,0.7862514853477478
43,5,4,thumbs,0.8913323283195496
44,5,4,excellent,1.0
45,5,5,good,-0.6236472725868225
46,5,5,bed,-0.577377200126648
47,5,5,clean,1.0
48,5,5,reception,-0.7071200013160706
49,5,5,wine,0.677139401435852
50,5,5,good,-0.6236472725868225
51,5,5,good,-0.6236472725868225
52,5,5,recommend,0.7202388644218445
53,4,4,'very,0.5430707931518555
54,4,4,good,1.0
55,4,4,not,-0.6006973385810852
56,4,4,good,1.0
57,5,5,excellent,0.8218055963516235
58,5,5,excellent,0.8218055963516235
59,5,5,excellent,0.8218055963516235
60,5,5,excellent,0.8218055963516235
61,5,5,pampered,1.0
62,4,4,good,1.0
63,4,4,location,0.5296486616134644
64,4,4,noisy,0.5344529747962952
65,4,4,fine,0.5165362358093262
66,4,4,convinent,-0.5101005434989929
67,4,4,mostly,0.9078405499458313
68,4,4,bill,0.5565062165260315
69,4,4,hotal,-0.5256741046905518
70,4,4,uncomfortable,1.0
71,5,4,excellent,1.0
72,5,4,highly,0.9735768437385559
73,4,5,worthwhile,0.631917417049408
74,4,5,location,0.511271059513092
75,4,5,100m,1.0
76,4,5,himself,0.6065031290054321
77,4,5,slow,0.9577456116676331
78,4,5,annoyingly,0.5381022691726685
79,4,5,strange,0.5972244739532471
80,4,5,47th,0.5919280648231506
81,4,5,fantastic,-0.7076221704483032
82,4,5,location,0.511271059513092
83,4,5,pretty,0.6485582590103149
84,4,5,small,0.5000022649765015
85,4,5,overall,1.0
86,4,5,blues,0.5332473516464233
87,2,2,never,0.5661747455596924
88,2,2,great,-0.6121050119400024
89,2,2,nice,-0.5755844712257385
90,2,2,poor,1.0
91,5,5,loved,1.0
92,5,5,great,0.7179544568061829
93,5,5,great,0.7179544568061829
94,2,2,worst,1.0
95,2,2,gorgeous,-0.5449103713035583
96,2,2,terrible,0.8957641124725342
97,2,3,noisy,0.5349156856536865
98,2,3,messes,0.5311897993087769
99,2,3,rude,1.0
100,2,3,angry,0.5810424089431763
101,2,3,bumping,0.6455346345901489
102,2,3,comments,-0.5701208710670471
103,2,3,nice,-0.7906364798545837
104,2,3,clean,-0.5537839531898499
105,5,5,great,0.7137330770492554
106,5,5,great,0.7137330770492554
107,5,5,accommodated,0.5987631678581238
108,5,5,beautiful,0.849851131439209
109,5,5,loved,1.0
110,4,4,good,1.0
111,4,4,small,0.9623987078666687
112,4,4,always,-0.5369997024536133
113,4,4,busy,0.592216432094574
114,4,4,wifi,0.5075761079788208
115,4,4,good,1.0
116,2,2,disgusting,1.0
117,2,2,disgusting,1.0
118,2,2,rude,0.8113107681274414
119,2,2,not,0.5230523347854614
120,2,2,presentation,-0.6572031378746033
121,2,2,potential,0.8586822748184204
122,2,2,not,0.5230523347854614
123,2,2,neither,0.5878542065620422
124,2,2,anothe,0.6709501147270203
125,2,2,not,0.5230523347854614
126,2,2,complaint,-1.0
127,2,2,not,0.5230523347854614
128,2,2,not,0.5230523347854614
129,4,4,good,0.7189746499061584
130,4,4,a/c,0.6234897971153259
131,4,4,noisy,1.0
132,4,4,soon,-0.5021561980247498
133,5,5,awesome,0.7973561882972717
134,5,5,moment,0.5232996940612793
135,5,5,amazing,0.842825174331665
136,5,5,fantastic,0.7164883017539978
137,5,5,phenomenal,0.9549326300621033
138,5,5,nancy,1.0
139,5,5,incredible,0.7841445803642273
140,2,2,excited,0.5849369168281555
141,2,2,flashing,0.5047478675842285
142,2,2,broken,0.5216280817985535
143,2,2,broken,0.5216280817985535
144,2,2,broken,0.5216280817985535
145,2,2,rude,0.8142288327217102
146,2,2,serious,0.5734312534332275
147,2,2,sorry,0.526141881942749
148,2,2,pathetic,1.0
149,2,2,sorry,0.526141881942749
150,4,5,situated,0.6166046857833862
151,4,5,bit,1.0
152,4,5,run,-0.9184490442276001
153,4,5,grans,0.6761201620101929
